video_id,split
1,train
2,train
3,train
4,train
5,train
6,train
7,train
8,train
9,train
10,train
11,train
12,train
13,train
14,test
15,train
16,train
17,train
18,train
19,test
20,train
21,train
22,train
23,val
24,train
25,train
26,train
27,train
28,train
29,train
30,train
31,train
32,train
33,train
34,train
35,train
36,val
37,train
38,test
39,train
40,train
41,train
42,val
43,train
44,train
45,train
46,train
47,train
48,val
49,train
50,train
51,train
52,test
53,train
54,train
55,train
56,test
57,train
58,train
59,val
60,train
61,train
62,train
63,train
64,train
65,train
66,train
67,train
68,val
69,train
70,train
71,test
72,train
73,train
74,train
75,train
76,train
77,val
78,val
79,train
80,train
81,train
82,val
83,train
84,train
85,test
86,train
87,train
88,test
89,train
90,train
91,train
92,train
93,test
94,train
95,train
96,train
97,train
98,train
99,val
100,train
101,train
102,train
103,train
104,train
105,train
106,train
107,test
108,train
109,train
110,train
111,train
112,train
113,train
114,val
115,train
116,train
117,test
118,train
119,train
120,train
121,val
122,train
123,train
124,train
125,train
126,val
127,train
128,train
129,train
130,train
131,train
132,train
133,train
134,train
135,train
136,train
137,train
138,train
139,val
140,train
141,train
142,train
143,train
144,train
145,train
146,val
147,train
148,train
149,train
150,train
151,train
152,train
153,train
154,train
155,train
156,train
157,train
158,train
159,train
160,train
161,train
162,train
163,train
164,train
165,train
166,train
167,train
168,train
169,train
170,val
171,val
172,train
173,test
174,train
175,train
176,train
177,train
178,train
179,train
180,train
181,train
182,test
183,train
184,train
185,train
186,train
187,train
188,train
189,train
190,train
191,train
192,train
193,train
194,test
195,train
196,train
197,train
198,train
199,train
200,train
201,test
202,train
203,val
204,train
205,train
206,train
207,train
208,train
209,val
210,val
211,train
212,train
213,test
214,train
215,train
216,train
217,val
218,train
219,train
220,train
221,train
222,val
223,train
224,val
225,train
226,train
227,train
228,train
229,train
230,train
231,val
232,train
233,train
234,train
235,train
236,test
237,train
238,train
239,train
240,train
241,train
242,train
243,train
244,train
245,train
246,train
247,train
248,train
249,train
250,train
251,train
252,test
253,train
254,test
255,train
256,train
257,test
258,train
259,train
260,train
261,train
262,val
263,train
264,train
265,val
266,test
267,train
268,test
269,train
270,train
271,train
272,train
273,train
274,train
