video_id,split
0,train
1,train
2,val
3,train
4,train
5,train
6,test
7,train
8,train
9,train
10,train
11,test
12,train
13,train
14,test
15,val
16,val
17,train
18,train
19,val
20,train
21,train
22,train
23,train
24,train
25,train
26,train
27,train
28,train
29,val
30,val
31,train
32,train
33,train
34,train
35,train
36,val
37,train
38,train
39,train
40,train
41,train
42,train
43,val
44,train
45,test
46,train
47,train
48,train
49,test
50,train
51,train
52,train
53,train
54,train
55,train
56,train
57,train
58,val
59,test
60,train
61,train
62,train
63,train
64,train
65,train
66,train
67,train
68,test
69,train
70,train
71,train
72,train
73,val
74,train
75,train
76,train
77,train
78,train
79,train
80,train
81,train
82,train
83,train
84,train
85,val
86,train
87,test
88,train
89,train
90,train
91,train
92,train
93,train
94,train
95,train
96,val
97,train
98,train
99,test
100,train
101,train
102,train
103,train
104,train
105,val
106,train
107,train
108,train
109,train
110,train
111,train
112,train
113,train
114,val
115,val
116,train
117,train
118,train
119,train
120,test
121,train
122,train
123,test
124,train
125,train
126,train
127,train
128,train
129,train
130,test
131,test
132,test
133,train
134,train
135,test
136,val
137,train
138,train
139,train
140,train
141,train
142,train
143,train
144,train
145,val
146,train
147,test
148,train
149,val
150,train
151,train
152,train
153,train
154,train
155,train
156,train
157,val
158,test
159,train
160,train
161,train
162,train
163,train
164,train
165,train
166,train
167,val
168,train
169,train
170,test
171,train
172,train
173,train
174,train
175,test
176,train
177,train
178,test
179,train
180,val
181,train
182,train
183,train
184,train
185,test
186,train
187,train
188,test
189,train
190,train
191,train
192,train
193,train
194,train
195,train
196,val
197,test
198,train
199,train
200,val
201,train
202,val
203,train
204,train
205,train
206,train
207,test
208,train
209,val
210,train
211,train
212,train
213,train
214,test
215,val
216,train
217,train
218,train
219,train
220,train
221,train
222,train
223,train
224,train
225,train
226,val
227,train
228,train
229,train
230,train
231,val
232,train
233,val
234,train
235,train
236,train
237,train
238,train
239,train
240,train
241,train
242,train
243,train
244,train
245,val
246,val
247,train
248,train
249,test
250,train
251,train
252,train
253,train
254,train
255,train
256,train
257,train
258,val
259,train
260,test
261,train
262,test
263,train
264,train
265,train
266,train
267,train
268,test
269,train
270,train
271,train
