video_id,split
1,train
2,test
3,val
4,train
5,train
6,train
7,test
8,train
9,train
10,train
11,train
12,train
13,train
14,train
15,train
16,train
17,train
18,train
19,train
20,train
21,train
22,train
23,train
24,train
25,val
26,test
27,train
28,train
29,train
30,test
31,train
32,train
33,train
34,train
35,train
36,train
37,train
38,train
39,train
40,train
41,train
42,train
43,train
44,train
45,val
46,train
47,train
48,train
49,train
50,val
51,train
52,test
53,train
54,train
55,train
56,train
57,train
58,train
59,test
60,train
61,train
62,train
63,train
64,val
65,train
66,train
67,train
68,train
69,train
70,train
71,train
72,test
73,train
74,train
75,train
76,train
77,train
78,train
79,train
80,val
81,train
82,train
83,train
84,train
85,train
86,train
87,train
88,train
89,train
90,train
91,train
92,train
93,val
94,train
95,train
96,train
97,train
98,val
99,train
100,train
101,train
102,train
103,train
104,train
105,train
106,train
107,train
108,train
109,train
110,train
111,val
112,train
113,train
114,train
115,train
116,train
117,train
118,train
119,train
120,train
121,train
122,train
123,train
124,train
125,val
126,train
127,train
128,train
129,train
130,train
131,test
132,train
133,train
134,train
135,train
136,train
137,train
138,train
139,train
140,train
141,train
142,train
143,train
144,test
145,train
146,train
147,val
148,train
149,train
150,train
151,val
152,train
153,train
154,val
155,val
156,train
157,train
158,train
159,train
160,test
161,train
162,test
163,test
164,val
165,train
166,train
167,train
168,train
169,train
170,train
171,val
172,train
173,train
174,train
175,train
176,val
177,train
178,train
179,train
180,train
181,train
182,train
183,train
184,train
185,train
186,train
187,train
188,val
189,train
190,train
191,train
192,train
193,val
194,train
195,train
196,train
197,train
198,train
199,test
200,train
201,train
202,train
203,train
204,train
205,train
206,train
207,train
208,val
209,train
210,train
211,train
212,test
213,train
214,val
215,train
216,train
217,train
218,train
219,test
220,train
221,train
222,train
223,train
224,train
225,train
226,train
227,train
228,train
229,train
230,val
231,train
232,test
233,train
234,train
235,train
236,train
237,train
238,test
239,train
240,train
241,train
242,train
243,test
244,train
245,train
246,train
247,val
248,train
249,train
250,train
251,train
252,train
253,train
254,train
255,train
256,train
257,test
258,train
259,test
260,train
261,train
262,train
263,train
264,val
265,train
266,train
267,train
268,test
269,train
270,train
271,train
272,train
273,train
274,val
275,train
276,train
277,train
278,train
279,train
280,train
281,train
282,train
283,train
284,train
285,val
286,train
287,val
288,train
289,train
290,train
291,train
292,train
293,val
294,test
295,train
296,val
297,val
298,test
299,test
300,train
301,test
302,train
303,train
304,train
305,train
306,val
307,val
308,train
309,test
310,test
311,train
312,test
313,test
314,train
315,train
316,val
317,train
318,train
319,train
320,train
321,train
322,train
323,test
324,train
325,train
326,train
327,train
328,val
329,test
330,train
331,train
332,train
333,train
334,train
335,train
336,train
337,train
338,train
339,train
340,train
341,train
342,train
343,train
344,val
345,train
346,train
347,train
348,train
349,train
350,test
351,val
352,train
353,train
354,train
355,train
356,train
357,train
358,train
359,train
360,train
361,train
362,train
363,train
364,train
365,train
366,train
367,train
368,train
369,train
370,train
