video_id,split
0,train
1,train
2,train
3,train
4,val
5,train
6,train
7,train
8,train
9,train
10,train
11,train
12,val
13,train
14,test
15,train
16,train
17,train
18,train
19,train
20,train
21,train
22,train
23,train
24,train
25,train
26,train
27,train
28,train
29,test
30,val
31,train
32,train
33,val
34,train
35,train
36,train
37,train
38,test
39,train
40,val
41,train
42,val
43,train
44,train
45,train
46,train
47,train
48,val
49,train
50,train
51,train
52,train
53,val
54,train
55,train
56,train
57,train
58,train
59,train
60,train
61,test
62,test
63,train
64,train
65,train
66,val
67,train
68,train
69,test
70,train
71,train
72,train
73,train
74,val
75,train
76,train
77,train
78,val
79,train
80,train
81,train
82,train
83,train
84,train
85,val
86,train
87,train
88,train
89,train
90,val
91,train
92,train
93,train
94,train
95,train
96,test
97,test
98,val
99,val
100,train
101,train
102,train
103,train
104,train
105,train
106,train
107,train
108,train
109,train
110,train
111,val
112,train
113,train
114,val
115,train
116,train
117,train
118,test
119,train
120,train
121,train
122,train
123,train
124,train
125,train
126,train
127,val
128,test
129,train
130,train
131,train
132,train
133,val
134,train
135,train
136,train
137,train
138,train
139,train
140,train
141,train
142,train
143,train
144,test
145,train
146,train
147,train
148,val
149,train
150,train
151,train
152,train
153,val
154,train
155,train
156,test
157,train
158,train
159,train
160,test
161,train
162,train
163,train
164,train
165,train
166,train
167,train
168,train
169,train
170,train
171,train
172,val
173,train
174,train
175,train
176,test
177,val
178,test
179,train
180,test
181,train
182,train
183,train
184,train
185,train
186,train
187,val
188,train
189,val
190,train
191,train
192,train
193,train
194,train
195,train
196,train
197,train
198,train
199,train
200,train
201,train
202,val
203,test
204,train
205,test
206,train
207,train
208,train
209,val
210,train
211,train
212,train
213,train
214,train
215,train
216,train
217,train
218,train
219,train
220,train
221,train
222,train
223,train
224,test
225,train
226,train
227,train
228,train
229,train
230,test
231,train
232,train
233,train
234,train
235,train
236,train
237,train
238,train
239,test
240,train
241,val
242,train
243,train
244,train
245,train
246,train
247,train
248,val
249,train
250,test
251,test
252,train
253,train
254,val
255,train
256,train
257,train
258,train
259,train
260,train
261,train
262,train
263,train
264,train
265,train
266,train
267,train
268,train
269,train
270,test
271,val
